name,description,address1,address2,address3,city,county,postcode,country,animal,pet_name,renewal_date,date,outward_code,Type of Property,Current Manager,Status
Little Smithy,"Little Smithy is situated in Shrewsbury, 30 km from Telford International Centre, 8.7 km from Shrewsbury Cathedral, and 12 km from Attingham Park.",Smithy House Condover,,,Shrewsbury,Shropshire,SY5 7AA,UK,,,,,SY5,Holiday home,Hosted by Sarah,Entire home
Station House,"Station House is situated in Shrewsbury, 29 km from Telford International Centre, 7.6 km from Shrewsbury Cathedral, and 11 km from Attingham Park.",The Moorlands,Condover,,Shrewsbury,Shropshire,SY5 7BS,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Barn at Pillocks Green,"The Barn at Pillocks Green is located in Marshbrook, 9.3 km from Stokesay Castle, 21 km from Ludlow Castle, as well as 22 km from Clun Castle.",Marshbrook,,,Marshbrook,Shropshire,SY6 6PX,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Betty's Barn,"Situated 35 km from Telford International Centre, 12 km from Stokesay Castle and 17 km from Ludlow Castle, Betty's Barn offers accommodation located in...",Eaton,,,Eaton,Shropshire,SY6 7DJ,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Tree House Barn,"Set in Shrewsbury in the Shropshire region, Tree House Barn offers accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 7DN,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Little Cygnet on Swan Hill,"Located in Shrewsbury, 26 km from Ironbridge Gorge and 27 km from Telford International Centre, The Little Cygnet on Swan Hill provides quiet street views...",15A Swan Hill,,,Shrewsbury,Shropshire,SY1 1NL,UK,,,,,SY1,Apartment,Hosted by Jo Henshaw owner and founder of Stayinshrewsbury,Entire apartment
Borrowers Cottage,"Located 31 km from Telford International Centre, 9 km from Shrewsbury Cathedral and 13 km from Attingham Park, Borrowers Cottage offers accommodation...",Condover,,,Condover,Shropshire,SY5 7AE,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Sunday School House,"Sunday School House offers accommodation in Shrewsbury, 400 metres from Shrewsbury Castle and 500 metres from Shrewsbury Town Council.",Sunday School House 2 Swan Hill,,,Shrewsbury,Shropshire,SY1 1NL,UK,,,,,SY1,Apartment,Hosted by Jo,Entire apartment
"Holiday Inn Express Shrewsbury, an IHG Hotel","Just off the A5, on the outskirts of Shrewsbury, this air-conditioned hotel features large, modern bedrooms, a contemporary restaurant and conference...",Shrewsbury Business Park,Sitka Drive,,Shrewsbury,Shropshire,SY2 6LG,UK,,,,,SY2,Hotel,,
Ludwick Apartment,"Situated in Shrewsbury and only 23 km from Ironbridge Gorge, Ludwick Apartment features accommodation with garden views, free WiFi and free private...",129 Abbey Foregate,,,Shrewsbury,Shropshire,SY2 6AX,UK,,,,,SY2,Apartment,,Apartments
Riverdale,"Set 26 km from Telford International Centre, 1.8 km from Shrewsbury Cathedral and 7.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 5EE,UK,,,,,SY2,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Old Post Office,"Featuring a shared lounge, restaurant, bar and free WiFi, Old Post Office is located in Shrewsbury, 26 km from Ironbridge Gorge and 27 km from Telford...",1 Milk Street Shrewsbury,,,Shrewsbury,Shropshire,SY1 1SZ,UK,,,,,SY1,Inn,,
Ruth's Repose,"Featuring pool views, Ruth's Repose provides accommodation with a garden and a patio, around 31 km from Ironbridge Gorge.",Little Vinnals Bungalow,,,Shrewsbury,Shropshire,SY5 8HF,UK,,,,,SY5,Chalet,,Entire home
The Wheelhouse,"The Wheelhouse is located in Church Stretton, 40 km from Telford International Centre, 17 km from Stokesay Castle, as well as 19 km from Shrewsbury...",Church Stretton,,,Church Stretton,Shropshire,SY6 7JL,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Summerhouse - Uk34933,"Located 39 km from Telford International Centre, The Summerhouse - Uk34933 provides accommodation with free WiFi and free private parking.",Baschurch,,,Baschurch,Shropshire,SY4 2EP,UK,,,,,SY4,Holiday home,Managed by Cottages-com,Entire home
Stables Wem,"Stables Wem, a property with a garden, is situated in Wem, 42 km from Ironbridge Gorge, 45 km from Trentham Gardens, as well as 47 km from Chester...",20 Wemsbrook Road,,,Wem,Shropshire,SY4 5AH,UK,,,,,SY4,Apartment,,Entire apartment
1 Reabrook Place,"1 Reabrook Place, a property with a terrace, is located in Shrewsbury, 50 km from Chillington Hall, 700 metres from Shrewsbury Cathedral, as well as 7 km...",Shrewsbury,,,Shrewsbury,Shropshire,SY3 7BN,UK,,,,,SY3,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Sunny Corner,"Sunny Corner, a property with barbecue facilities, is set in Church Stretton, 43 km from Telford International Centre, 13 km from Stokesay Castle, as well...",Church Stretton,,,Church Stretton,Shropshire,SY6 6DD,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Parlour - Uk10958,"The Parlour - Uk10958, a property with a garden, is set in Walford, 18 km from Shrewsbury Cathedral, 20 km from Whittington Castle, as well as 25 km from...",Walford,,,Walford,Shropshire,SY4 3SA,UK,,,,,SY4,Holiday home,Managed by Cottages-com,Entire home
Drovers Rest,"Situated 31 km from Ironbridge Gorge, Drovers Rest features accommodation with free WiFi and free private parking.",Drover's Rest,Castle Hill,All Stretton,All Stretton,Shropshire,SY6 6JP,UK,,,,,SY6,Holiday home,Managed by Luxury Cottages,Entire home
Habberley Glamping Pods,"Habberley Glamping Pods is a recently renovated campground in Shrewsbury, where guests can make the most of its garden and barbecue facilities.",EastridgeGlamping,Habberley,,Shrewsbury,Shropshire,SY5 0TP,UK,,,,,SY5,Campsite,Managed by Eastridge Glamping Limited,
Pass the Keys 1 bed 40C Beautiful Town Apartment Celosia,"Pass the Keys 1 bed 40C Beautiful Town Apartment Celosia is located in Shrewsbury, 26 km from Telford International Centre, 700 metres from Shrewsbury...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2BW,UK,,,,,SY1,Apartment,Managed by Karen,Entire apartment
Abbey View Shrewsbury,"Located in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Abbey View Shrewsbury provides accommodation with free WiFi and free...",9 Whitehall Street,,,Shrewsbury,Shropshire,SY2 5AD,UK,,,,,SY2,Holiday home,,Entire home
Pass the Keys 3 Storey Townhouse,"Pass the Keys 3 Storey Townhouse, a property with a garden, is set in Shrewsbury, 26 km from Telford International Centre, 1.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2HT,UK,,,,,SY1,Holiday home,Managed by Sarah,Entire home
Creamore Grove,"Creamore Grove, a property with a garden, is situated in Wem, 47 km from Chester Racecourse, 49 km from Chester Zoo, as well as 19 km from Shrewsbury...",Wem,,,Wem,Shropshire,SY4 5AQ,UK,,,,,SY4,Holiday home,,Entire home
The Coach House Barn,"Set in Shrewsbury in the Shropshire region, The Coach House Barn offers accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 7LY,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Hazler Lodge,"Boasting garden views, Hazler Lodge offers accommodation with a garden and a patio, around 27 km from Ironbridge Gorge.",Hazler Road Church Stretton,,,Church Stretton,Shropshire,SY6 7AF,UK,,,,,SY6,Bed and breakfast,,
Grove Farm Cottage,"Set in Condover in the Shropshire region, Grove Farm Cottage offers accommodation with free WiFi and free private parking.",Condover,,,Condover,Shropshire,SY5 7BH,UK,,,,,SY5,Holiday home,Managed by Cottages-com,Entire home
The Jays,"Set in Church Stretton in the Shropshire region, The Jays offers accommodation with free WiFi and free private parking.",Church Stretton,,,Church Stretton,Shropshire,SY6 6AE,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Wilstone Cottage,"Situated in Church Stretton in the Shropshire region and Ironbridge Gorge reachable within 24 km, Wilstone Cottage features accommodation with free WiFi,...",Church Stretton,,,Church Stretton,Shropshire,SY6 7HW,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
NiCheGetaway,"Housed in a historic building, NiCheGetaway provides accommodation with a garden and free WiFi in Shrewsbury, 26 km from Ironbridge Gorge.",Claremont buildings apartment 5Q,,,Shrewsbury,Shropshire,SY1 1RJ,UK,,,,,SY1,Apartment,Hosted by At Niche gateway a real special retreat,Entire apartment
Borrowers Cottage,"Located 31 km from Telford International Centre, 9 km from Shrewsbury Cathedral and 13 km from Attingham Park, Borrowers Cottage offers accommodation...",Condover,,,Condover,Shropshire,SY5 7AE,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
ryton grange church barn sleeps 5,"Located in Shrewsbury in the Shropshire region, ryton grange church barn sleeps 5 provides accommodation with free WiFi and free private parking.",RYTON GRANGE,RYTON,NR DORRINGTON,Shrewsbury,Shropshire,SY5 7LW,UK,,,,,SY5,Holiday home,Hosted by emma and richard,Entire home
Pass the Keys Dahlia Contemporary town centre apartment,"Located in Shrewsbury in the Shropshire region, Pass the Keys Dahlia Contemporary town centre apartment features a balcony.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2BW,UK,,,,,SY1,Apartment,Managed by Pass The Keys,Entire apartment
Pass the Keys Central cosy home 5 minutes walk from Shrewsbury,"Situated in Shrewsbury in the Shropshire region, Pass the Keys Central cosy home 5 minutes walk from Shrewsbury has a patio.",Shrewsbury,,,Shrewsbury,Shropshire,SY2 6AJ,UK,,,,,SY2,Holiday home,Managed by Carol,Entire home
Pass the Keys Contemporary Apartment with Secure Parking,"Pass the Keys Contemporary Apartment with Secure Parking is located in Shrewsbury, 26 km from Telford International Centre, 1.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2ET,UK,,,,,SY1,Apartment,Managed by Karen,Entire apartment
Abel's Harp,"In an Area of Outstanding Natural Beauty, Abel’s Harp in the Shropshire Hills, close to the Welsh/English border.",Abel's Harp,Bromlow,,Bromlow,Shropshire,SY5 0EA,UK,,,,,SY5,Inn,,
Pickle Cottage,"Located in Church Stretton in the Shropshire region, Pickle Cottage provides accommodation with free WiFi and free private parking.",Church Stretton,,,Church Stretton,Shropshire,SY6 6PQ,UK,,,,,SY6,Holiday home,Managed by Cottages-com,Entire home
The Old Barn,"Set 24 km from Ironbridge Gorge, The Old Barn offers accommodation with free WiFi and free private parking.",Church Stretton,,,Church Stretton,Shropshire,SY6 7JB,UK,,,,,SY6,Holiday home,Managed by Cottages-com,Entire home
Tregarthens,"Tregarthens is situated in Church Stretton, 43 km from Telford International Centre, 14 km from Stokesay Castle, and 22 km from Shrewsbury Cathedral.",Church Stretton,,,Church Stretton,Shropshire,SY6 7BY,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Riverside Cabins,"Boasting a hot tub, Riverside Cabins is situated in Shrewsbury.",Stanwardine Lane,,,Shrewsbury,Shropshire,SY4 1HY,UK,,,,,SY4,Holiday park,,
The Dairy - Uk10957,"The Dairy - Uk10957, a property with a garden, is set in Walford, 42 km from Ironbridge Gorge, 18 km from Shrewsbury Cathedral, as well as 20 km from...",Walford,,,Walford,Shropshire,SY4 3SA,UK,,,,,SY4,Holiday home,Managed by Cottages-com,Entire home
Sunday School House,"Sunday School House offers accommodation in Shrewsbury, 400 metres from Shrewsbury Castle and 500 metres from Shrewsbury Town Council.",Sunday School House 2 Swan Hill,,,Shrewsbury,Shropshire,SY1 1NL,UK,,,,,SY1,Apartment,Hosted by Jo,Entire apartment
Pass the Keys Modern flat a short walk from Shrewsbury centre,"Offering a terrace and garden view, Pass the Keys Modern flat a short walk from Shrewsbury centre is situated in Shrewsbury, 25 km from Telford...",Shrewsbury,,,Shrewsbury,Shropshire,SY3 7BY,UK,,,,,SY3,Apartment,Managed by Karen,Entire apartment
Sayang House,"Nestled within picturesque rolling countryside, Sayang House features an acre of gardens and scenic walking trails on its doorstep.",Sayang House,Hope Bowdler,,Church Stretton,Shropshire,SY6 7DD,UK,,,,,SY6,Bed and breakfast,Hosted by Claire and Gary Szreider,
mega pod 5,"Situated in Church Stretton, 32 km from Ironbridge Gorge and 47 km from Telford International Centre, mega pod 5 provides a restaurant.",Mountain Edge,,,Church Stretton,Shropshire,SY6 6QE,UK,,,,,SY6,Holiday home,Managed by Mountain Edge Resort,Entire home
10 Bromleys Court,"Located in Church Stretton and only 28 km from Ironbridge Gorge, 10 Bromleys Court provides accommodation with quiet street views, free WiFi and free...",10 Bromleys Court Church Stretton,,,Church Stretton,Shropshire,SY6 7BE,UK,,,,,SY6,Apartment,Hosted by Sarah Haddleton,Entire apartment
The Old School B&B,"Featuring free WiFi, The Old School B&B is located in Shawbury, 14.5 km Shrewsbury. Free private parking is available on site.",Moreton Corbet,,,Shawbury,Shropshire,SY4 4DW,UK,,,,,SY4,Bed and breakfast,,
11 Callow Crescent,"11 Callow Crescent is situated in Minsterley, 39 km from Ironbridge Gorge, and features a patio, garden, and free WiFi.",11 Callow Crescent,,,Minsterley,Shropshire,SY5 0BY,UK,,,,,SY5,Holiday home,Hosted by AL,Entire home
Countryside in the Town.,"Countryside in the Town., a property with a garden and a terrace, is located in Harlescott, 50 km from Chillington Hall, 4 km from Shrewsbury Cathedral, as...",55 Whitemere Road,,,Harlescott,Shropshire,SY1 3BY,UK,,,,,SY1,Apartment,Hosted by Adrian,Entire apartment
Tregarthens,"Tregarthens is situated in Church Stretton, 43 km from Telford International Centre, 14 km from Stokesay Castle, and 22 km from Shrewsbury Cathedral.",Church Stretton,,,Church Stretton,Shropshire,SY6 7BY,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Stables,"Set 25 km from Ironbridge Gorge, The Stables offers accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 7HD,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Mountain Edge Resort Lodge 3,"Boasting a hot tub, Mountain Edge Resort Lodge 3 is set in Church Stretton.",Mountain Edge,,,Church Stretton,Shropshire,SY6 6QE,UK,,,,,SY6,Holiday home,Managed by Mountain Edge Resort,Entire home
Oak Lodge,"Boasting a sauna, Oak Lodge is set in Hadnall. The property is around 28 km from Ironbridge Gorge, 6.",Hadnall,,,Hadnall,Shropshire,SY4 4AA,UK,,,,,SY4,Holiday home,Managed by Sykes Holiday Cottages,Entire home
The Coach House,"The Coach House, a property with a garden, is located in Shrewsbury, 32 km from Telford International Centre, 8.",Shrewsbury,,,Shrewsbury,Shropshire,SY3 0BA,UK,,,,,SY3,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Pass the Keys Stylish modern 2 bedroom townhouse with parking,"Set 27 km from Ironbridge Gorge, Pass the Keys Stylish modern 2 bedroom townhouse with parking offers accommodation with free WiFi and free private...",Shrewsbury,,,Shrewsbury,Shropshire,SY3 9FN,UK,,,,,SY3,Holiday home,Managed by Patrick,Entire home
Boutique Shrewsbury Rooms,"Boutique Shrewsbury Rooms is located in Shrewsbury, 25 km from Telford International Centre, 50 km from Chillington Hall, as well as 1.",14A Underdale Road,,,Shrewsbury,Shropshire,SY2 5DL,UK,,,,,SY2,Homestay,Managed by Underdale Property Management Ltd,
Shepherds Cottage,"Featuring garden views, Shepherds Cottage provides accommodation with a patio, around 36 km from Telford International Centre.",Shepherds Cottage,,,Shrewsbury,Shropshire,SY4 2LE,UK,,,,,SY4,Holiday home,,Entire home
Pass the Keys Cheerful and modern one bedroom home with parking,"Pass the Keys Cheerful and modern one bedroom home with parking, a property with a garden, is situated in Shrewsbury, 28 km from Telford International...",Shrewsbury,,,Shrewsbury,Shropshire,SY3 6DN,UK,,,,,SY3,Holiday home,,Entire home
Huglith Farm,"Huglith Farm, a property with a garden and barbecue facilities, is located in Habberley, 43 km from Telford International Centre, 19 km from Shrewsbury...",Habberley,,,Habberley,Shropshire,SY5 0SQ,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Habberley Glamping Pods,"Habberley Glamping Pods is a recently renovated campground in Shrewsbury, where guests can make the most of its garden and barbecue facilities.",EastridgeGlamping,Habberley,,Shrewsbury,Shropshire,SY5 0TP,UK,,,,,SY5,Campsite,Managed by Eastridge Glamping Limited,
Eastridge Glamping - Camping Pods,"Situated within 38 km of Ironbridge Gorge and 39 km of Telford International Centre in Shrewsbury, Eastridge Glamping - Camping Pods features accommodation...",Habberley Road,,,Shrewsbury,Shropshire,SY5 0TP,UK,,,,,SY5,Campsite,Managed by Eastridge Glamping,
The Wheelhouse,"The Wheelhouse is located in Church Stretton, 40 km from Telford International Centre, 17 km from Stokesay Castle, as well as 19 km from Shrewsbury...",Church Stretton,,,Church Stretton,Shropshire,SY6 7JL,UK,,,,,SY6,Holiday home,Managed by Sykes Holiday Cottages,Entire home
4 Bed in Shrewsbury 50180,"Located 35 km from Ironbridge Gorge, 4 Bed in Shrewsbury 50180 provides accommodation with free WiFi and free private parking.","The Barn At Cedarway
Chapel Street
Pontesbury",,,Pontesbury,Shropshire,SY5 0RJ,UK,,,,,SY5,Holiday home,Managed by holidaycottages-co-uk,Entire home
